eps,sample_id,l2_norm,cpop,log_l2,log_cpop
0.2,0,0.20000000298023224,0.18574261665344238,-0.6989700198173523,-0.7310884594917297
0.2,1,0.20000000298023224,0.08881986886262894,-0.6989700198173523,-1.0514898300170898
0.2,2,0.19999997317790985,0.13867062330245972,-0.6989700794219971,-0.8580155372619629
0.2,3,0.19999997317790985,0.06994908303022385,-0.6989700794219971,-1.1552180051803589
0.2,4,0.19999997317790985,0.28087568283081055,-0.6989700794219971,-0.5514858961105347
0.2,5,0.20000001788139343,0.12659952044487,-0.6989699602127075,-0.8975679874420166
0.2,6,0.1999998837709427,0.029251858592033386,-0.6989702582359314,-1.5338464975357056
0.2,7,0.19999998807907104,0.2442193329334259,-0.6989700198173523,-0.6122199296951294
0.2,8,0.1999988704919815,0.027269922196865082,-0.6989724636077881,-1.5643161535263062
0.2,9,0.19992612302303314,0.11481798440217972,-0.6991304755210876,-0.9399901032447815
0.2,10,0.19998694956302643,0.21250221133232117,-0.6989983320236206,-0.6726365685462952
0.2,11,0.1999783217906952,0.1592845618724823,-0.6990171074867249,-0.7978262901306152
0.2,12,0.19999977946281433,0.09811187535524368,-0.6989704966545105,-1.0082783699035645
0.2,13,0.19999705255031586,0.043274059891700745,-0.6989763975143433,-1.3637723922729492
0.2,14,0.1999986320734024,0.13357853889465332,-0.6989730000495911,-0.8742632865905762
0.2,15,0.20000000298023224,0.21866858005523682,-0.6989700198173523,-0.6602135896682739
0.2,16,0.20000003278255463,0.1067308560013771,-0.6989699602127075,-0.9717100262641907
0.2,17,0.19999732077121735,0.31422606110572815,-0.6989758014678955,-0.5027577877044678
0.2,18,0.19999736547470093,0.18853338062763214,-0.6989757418632507,-0.724611759185791
0.2,19,0.19999998807907104,0.08035317808389664,-0.6989700198173523,-1.0949969291687012
0.2,20,0.19999819993972778,0.08476793766021729,-0.6989738941192627,-1.0717684030532837
0.2,21,0.20000000298023224,0.10263337939977646,-0.6989700198173523,-0.9887113571166992
