classifier,arch_type,attack,label,cpop,fs,lid,lid_ext,maha,kd
resnet50,CNN,FGSM,1,-0.05805813521146774,0.29410693049430847,35.437530517578125,35.437530517578125,13.865687370300293,0.4210224151611328
resnet50,CNN,FGSM,0,-0.09622456878423691,0.12827369570732117,49.398162841796875,49.398162841796875,14.261876106262207,0.4920969009399414
resnet50,CNN,FGSM,1,-0.03205312788486481,0.3455336391925812,42.81165313720703,42.81165313720703,17.63399887084961,0.4991612434387207
resnet50,CNN,FGSM,0,-0.05758758634328842,0.39142554998397827,114.27542114257812,114.27542114257812,17.579654693603516,0.8138389587402344
resnet50,CNN,FGSM,1,-0.022882498800754547,0.49026423692703247,89.66858673095703,89.66858673095703,16.48097801208496,0.8326139450073242
resnet50,CNN,FGSM,0,-0.2106861174106598,0.246381014585495,54.21202087402344,54.21202087402344,14.739416122436523,0.6166386604309082
resnet50,CNN,FGSM,1,-0.03261439502239227,0.4260726869106293,47.46421813964844,47.46421813964844,16.672550201416016,0.6701273918151855
resnet50,CNN,FGSM,0,-0.33965200185775757,0.18389040231704712,55.125423431396484,55.125423431396484,13.020694732666016,0.4966754913330078
resnet50,CNN,FGSM,1,-0.03372204303741455,0.3403743505477905,70.05130004882812,70.05130004882812,11.53612232208252,0.48316526412963867
resnet50,CNN,FGSM,0,-0.26173725724220276,0.33864009380340576,61.130428314208984,61.130428314208984,16.349170684814453,0.6627359390258789
resnet50,CNN,FGSM,1,-0.030933700501918793,0.47239333391189575,55.08988952636719,55.08988952636719,15.147472381591797,0.571709156036377
resnet50,CNN,FGSM,0,-0.18087360262870789,0.4191609025001526,89.31584930419922,89.31584930419922,20.00933074951172,0.6837139129638672
resnet50,CNN,FGSM,1,-0.030938081443309784,0.33901041746139526,143.73170471191406,143.73170471191406,15.921000480651855,0.5787038803100586
resnet50,CNN,FGSM,0,-0.12349672615528107,0.2857019305229187,89.56330871582031,89.56330871582031,11.45334243774414,0.528872013092041
resnet50,CNN,FGSM,1,-0.0318109467625618,0.49549245834350586,114.23978424072266,114.23978424072266,11.063467025756836,0.46958494186401367
resnet50,CNN,FGSM,0,-0.6137419939041138,0.4163612127304077,123.1421127319336,123.1421127319336,17.5623836517334,0.7668066024780273
resnet50,CNN,FGSM,1,-0.05300585925579071,0.34138864278793335,100.97496795654297,100.97496795654297,16.584732055664062,0.684267520904541
resnet50,CNN,FGSM,0,-0.11222770065069199,0.4057707190513611,57.19449234008789,57.19449234008789,15.956154823303223,0.7640113830566406
resnet50,CNN,FGSM,1,-0.028345905244350433,0.4236954152584076,45.122684478759766,45.122684478759766,16.29953384399414,0.8124065399169922
resnet50,CNN,FGSM,0,-0.20878344774246216,0.36813220381736755,17.15910530090332,17.15910530090332,18.349979400634766,0.7931313514709473
resnet50,CNN,FGSM,1,-0.04140899330377579,0.47008422017097473,30.219501495361328,30.219501495361328,16.464229583740234,0.7022309303283691
resnet50,CNN,FGSM,0,-0.09133641421794891,0.16775043308734894,30.261306762695312,30.261306762695312,14.90234088897705,0.4107027053833008
resnet50,CNN,FGSM,1,-0.026802800595760345,0.21996085345745087,49.0521354675293,49.0521354675293,9.797508239746094,0.42644500732421875
resnet50,CNN,FGSM,0,-0.29552337527275085,0.38644903898239136,17.276123046875,17.276123046875,15.024201393127441,0.45046424865722656
resnet50,CNN,FGSM,1,-0.03615932911634445,0.3237757086753845,27.587234497070312,27.587234497070312,14.791930198669434,0.4145927429199219
resnet50,CNN,FGSM,0,-0.07372962683439255,0.2925148010253906,28.13788604736328,28.13788604736328,19.700864791870117,0.5219302177429199
resnet50,CNN,FGSM,1,-0.02672545611858368,0.3108128309249878,20.264997482299805,20.264997482299805,16.016233444213867,0.45119667053222656
resnet50,CNN,FGSM,0,-0.0732404887676239,0.25832149386405945,49.7683219909668,49.7683219909668,14.772576332092285,0.5017414093017578
resnet50,CNN,FGSM,1,-0.023670285940170288,0.5464732646942139,62.90232467651367,62.90232467651367,15.563993453979492,0.6442728042602539
resnet50,CNN,FGSM,0,-0.08085951209068298,0.38631588220596313,47.98172378540039,47.98172378540039,14.011091232299805,0.5477786064147949
resnet50,CNN,FGSM,1,-0.027445651590824127,0.38894128799438477,50.26939010620117,50.26939010620117,14.339248657226562,0.5658168792724609
resnet50,CNN,FGSM,0,-0.13050788640975952,0.3445853590965271,65.32128143310547,65.32128143310547,18.703840255737305,0.8106484413146973
resnet50,CNN,FGSM,1,-0.03007301688194275,0.48558157682418823,71.01461029052734,71.01461029052734,17.464982986450195,0.7264575958251953
resnet50,CNN,FGSM,0,-0.08547722548246384,0.5800865888595581,30.789478302001953,30.789478302001953,14.883648872375488,0.5012259483337402
resnet50,CNN,FGSM,1,-0.026669256389141083,0.44828158617019653,38.555419921875,38.555419921875,12.697759628295898,0.4534592628479004
resnet50,CNN,FGSM,0,-0.165871262550354,0.5478707551956177,43.15460205078125,43.15460205078125,21.26335906982422,0.9306316375732422
resnet50,CNN,FGSM,1,-0.030135996639728546,0.47550010681152344,46.906944274902344,46.906944274902344,20.676586151123047,0.8739604949951172
resnet50,CNN,FGSM,0,-0.04232157766819,0.3470362424850464,85.2109603881836,85.2109603881836,16.186283111572266,0.8178882598876953
resnet50,CNN,FGSM,1,-0.02010899782180786,0.5407049059867859,67.11360168457031,67.11360168457031,17.406524658203125,0.8649501800537109
