classifier,arch_type,eps255,sid,label,cpop,fs,lid,lid_ext,fs_bit1,fs_bit2,fs_bit3,fs_bit5,fs_median3,fs_median5,fs_avgpool3
resnet50,CNN,2,32,0,-0.21984364092350006,0.772413969039917,38.924320220947266,38.924320220947266,1.0713963508605957,0.5124647617340088,0.5866407752037048,0.06631007790565491,0.6725243926048279,0.760185718536377,0.772413969039917
resnet50,CNN,2,32,1,-0.1058608889579773,1.990242600440979,76.80209350585938,76.80209350585938,1.930739164352417,1.9792237281799316,1.6460487842559814,0.016744839027523994,1.9796113967895508,1.991742491722107,1.990242600440979
resnet50,CNN,2,33,0,-0.6505706310272217,0.8952630162239075,62.82469940185547,62.82469940185547,1.118865966796875,0.21947135031223297,0.14074504375457764,0.08390877395868301,0.7520535588264465,1.0673304796218872,0.8952630162239075
resnet50,CNN,2,33,1,-0.13856567442417145,1.9669044017791748,30.55197525024414,30.55197525024414,1.9959359169006348,1.996628761291504,1.9669044017791748,0.056819818913936615,1.7653193473815918,1.997091293334961,1.7371504306793213
resnet50,CNN,2,34,0,-0.2925381660461426,0.18585242331027985,15.960931777954102,15.960931777954102,0.7806758880615234,0.06988827884197235,0.043684568256139755,0.011159058660268784,0.0746455118060112,0.2202121913433075,0.18585242331027985
resnet50,CNN,2,34,1,-0.1380460411310196,1.9681897163391113,25.561939239501953,25.561939239501953,1.9478096961975098,1.9769911766052246,1.9681897163391113,0.267109751701355,1.9289515018463135,1.967286467552185,1.9493857622146606
resnet50,CNN,2,35,0,-0.04603707790374756,0.6463722586631775,81.41130065917969,81.41130065917969,0.2548654079437256,0.33061864972114563,0.26024705171585083,0.03231355547904968,0.352905809879303,0.30895039439201355,0.6463722586631775
resnet50,CNN,2,35,1,-0.03894346207380295,0.8094955086708069,21.986221313476562,21.986221313476562,1.2672655582427979,0.962469756603241,0.6622575521469116,0.07815060019493103,0.9541918039321899,1.3553755283355713,0.8094955086708069
resnet50,CNN,2,36,0,-0.10698812454938889,0.17952214181423187,24.887693405151367,24.887693405151367,1.1037993431091309,0.3529672622680664,0.17952214181423187,0.07656194269657135,0.08033819496631622,0.3675062954425812,0.1250993013381958
resnet50,CNN,2,36,1,-0.0745638906955719,1.5701364278793335,100.4654541015625,100.4654541015625,1.997711181640625,1.7086868286132812,1.5701364278793335,0.020373448729515076,0.47319495677948,1.8154196739196777,0.8744637370109558
resnet50,CNN,2,37,0,-0.09236641228199005,0.11618408560752869,80.62251281738281,80.62251281738281,0.28315117955207825,0.22998321056365967,0.11618408560752869,0.02734682708978653,0.2163107544183731,0.2760685086250305,0.09920661151409149
resnet50,CNN,2,37,1,-0.06663248687982559,1.0528699159622192,113.88341522216797,113.88341522216797,1.3271057605743408,1.1159441471099854,1.0291721820831299,0.3308025002479553,0.9247019290924072,1.2315571308135986,1.0528699159622192
resnet50,CNN,2,38,0,-0.31810662150382996,0.5384171009063721,78.30797576904297,78.30797576904297,1.2994810342788696,0.864264965057373,0.3453068137168884,0.11649978160858154,0.7030275464057922,0.6652404069900513,0.5384171009063721
resnet50,CNN,2,38,1,-0.1101490706205368,1.5763639211654663,50.18765640258789,50.18765640258789,1.9845327138900757,1.9716277122497559,1.5763639211654663,0.07021484524011612,1.0056416988372803,1.8569177389144897,1.3523235321044922
resnet50,CNN,2,39,0,-0.149594247341156,0.30262917280197144,52.05312728881836,52.05312728881836,0.6925861239433289,0.380173921585083,0.30262917280197144,0.05151825398206711,0.2784157693386078,0.9303032755851746,0.1476805955171585
resnet50,CNN,2,39,1,-0.09291752427816391,1.9078011512756348,33.343833923339844,33.343833923339844,1.9193408489227295,1.8407764434814453,1.8967382907867432,0.1686037927865982,1.880936622619629,1.9276562929153442,1.9078011512756348
resnet50,CNN,2,40,0,-0.18882781267166138,0.3869885206222534,51.31055450439453,51.31055450439453,0.5070956945419312,0.3707135319709778,0.3869885206222534,0.14345026016235352,0.28142714500427246,0.6794478893280029,0.2438601553440094
resnet50,CNN,2,40,1,-0.09939803928136826,1.8456411361694336,70.3476333618164,70.3476333618164,1.9772186279296875,1.966560959815979,1.802733063697815,0.002493822481483221,1.5384447574615479,1.979776382446289,1.8456411361694336
resnet50,CNN,2,41,0,-0.15434308350086212,0.3288972079753876,101.02728271484375,101.02728271484375,1.2322547435760498,0.3069172501564026,0.2401019185781479,0.09197533875703812,0.1928175389766693,0.380235493183136,0.3288972079753876
resnet50,CNN,2,41,1,-0.08700738102197647,1.5096426010131836,189.09207153320312,189.09207153320312,1.826531171798706,1.9607394933700562,1.5096426010131836,0.01337909884750843,0.23293617367744446,1.9523698091506958,1.350586175918579
resnet50,CNN,2,42,0,-0.07281780987977982,0.10430970788002014,13.016057968139648,13.016057968139648,1.0212912559509277,0.16073037683963776,0.05900421738624573,0.038300029933452606,0.029515542089939117,0.17956560850143433,0.10430970788002014
resnet50,CNN,2,42,1,-0.05642275512218475,0.6752017736434937,23.94046974182129,23.94046974182129,1.042423963546753,0.7787724733352661,0.5833522081375122,0.10821495205163956,0.7142630219459534,1.0861892700195312,0.6752017736434937
resnet50,CNN,2,43,0,-0.0804256871342659,0.18879491090774536,65.41024780273438,65.41024780273438,0.6229464411735535,0.18571940064430237,0.18879491090774536,0.1053101047873497,0.30189067125320435,0.7186433672904968,0.15656760334968567
resnet50,CNN,2,43,1,-0.0606285035610199,1.253039002418518,48.25426483154297,48.25426483154297,1.148126244544983,1.0698893070220947,1.0991435050964355,0.4673147201538086,0.7758247256278992,0.7527959942817688,1.253039002418518
resnet50,CNN,2,44,0,-0.08076009154319763,0.1665116846561432,61.4344482421875,61.4344482421875,0.721439003944397,0.3566358685493469,0.13385839760303497,0.02037188410758972,0.14171414077281952,0.18908120691776276,0.1665116846561432
resnet50,CNN,2,44,1,-0.06771081686019897,1.237790584564209,42.501277923583984,42.501277923583984,1.299335241317749,1.649983286857605,1.237790584564209,0.3086979389190674,0.7411015629768372,1.3696246147155762,0.6970553398132324
resnet50,CNN,2,45,0,-0.08484891802072525,0.3544970154762268,45.744503021240234,45.744503021240234,0.7204771041870117,0.2894287705421448,0.3544970154762268,0.044092800468206406,0.20641997456550598,0.2709541916847229,0.2574390769004822
resnet50,CNN,2,45,1,-0.06517375260591507,1.5240565538406372,66.04825592041016,66.04825592041016,1.4840583801269531,1.7187488079071045,1.4244681596755981,0.08457186818122864,1.3110663890838623,1.5890724658966064,1.5240565538406372
